Table,Variable,Data Type,Description,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Notes,,,,,,,,,,,,,
Household,DelMeth_B01ID,int,"Method of delivery for last item ordered by phone, post or internet",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dropped and replaced with DelMethN_B01ID,,,,,,,,,,,,,
Household,DelVisit_B01ID,int,"Prior visit to shop to view select item which was last ordered by phone, post or internet",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2011 - new category 4 'Not applicable to item' added to question,,,,,,,,,,,,,
Household,Howspec_B01ID,int,"If not ordered by phone, post or internet would a specific trip been made to get selected item",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2010 - amendment was only to rename one of the categories,,,,,,,,,,,,,
Household,TravSpec_B01ID,int,"If not ordered by phone, post or internet would what mode of transport would be used to get selected item",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Household,HowBN_B01ID,int,How would you have bought these goods otherwise,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Replaces HowB_B01ID,,,,,,,,,,,,,
Household,Pavement_B01ID,int,How would you rate the condition of the pavement where you live,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2011 - All households asked question (subsample only asked in 2010);2017 - dropped,,,,,,,,,,,,,
Household,CycLane_B01ID,int,How would you rate the provision of the cycle lanes in your area,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2011 - All households asked question (subsample only asked in 2010);2017 - dropped,,,,,,,,,,,,,
Household,DelMethN_B01ID,int,"Method of delivery for last item ordered by phone, post or internet - 2010 onwards",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Replaces DelMeth_B01ID;2013 - dropped,,,,,,,,,,,,,
Household,BusStandard_B01ID,int,Bus availability standard (walk <= 13 minutes and frequency >= 1 an hour),1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,OnlineN_B01ID,int,Does your household have access to the internet,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Replaces Online_B01ID,,,,,,,,,,,,,
